"Certainty.to.vote.in.general.election.10.is.certain","GEVote","DidyouvoteGE2015","Past.vote","Eurefvote","Certainty.to.vote.in.EU.referendum.10.is.certain","Gender","Age","Region","Ethnicity","Education","Housing","mosaic_2014_groups","postcode","parliamentary_constituency","local_authority"
NA,"Scottish.National.Party.SNP","Yes.I.voted","Scottish.National.Party.SNP","Leave","10","Male","70","Scotland","White","Level.1","Owned.outright.by.household","E","KA11 ","S14000010","S12000021"
NA,"Labour","No.I.wanted.to.vote.but.was.unable.to.do.so",NA,"Remain","5","Female","22","Scotland","White","Level.1","Rented.from.a.private.landlord.or.letting.agency","D","KA6 ","S14000006","S12000028"
"7","UKIP","Yes.I.voted","UKIP","Leave","8","Male","52","North.East","White","Level.1","Owned.with.a.mortgage.or.loan","J","DL5 ","E14000915","E06000047"
"10","Green.Party","Yes.I.voted","Green.Party",NA,NA,"Male","29","South.East","White","Level.3","Being.bought.on.a.mortgage","H","RH12 ","E14000753","E07000227"
"10","Labour","Yes.I.voted","Labour","Leave","10","Male","39","Scotland","White","Other","Being.bought.on.a.mortgage","H","G66 ","S14000012","S12000045"
"10","Labour","Yes.I.voted","Labour","Remain","9","Female","50","South.West","White","Level.1","Rented.from.a.private.landlord.or.letting.agency","F","BH5 ","E14000584","E06000028"
"10","Labour","Yes.I.voted","Labour","Remain","10","Female","66","East.of.England","White","Level.2","Owned.with.a.mortgage.or.loan","M","L19 ","E14000708","E08000012"
NA,"Dont.know","Yes.I.voted","Labour","Remain","10","Male","50","Wales","White","Level.4","Owned.with.a.mortgage.or.loan","C","SA3 ","W07000046","W06000011"
"10","UKIP","Yes.I.voted","UKIP","Leave","10","Female","45","East.Midlands","White","Level.1","Prefer.not.to.say","L","PE4 ","E14000878","E06000031"
"1","None.-.wont.vote","No.I.chose.not.to.vote",NA,"Dont.know","1","Female","39","North.West","White","Level.1","Social.housing.rented.other.than.from.council/local.authority","K","CH41 ","E14000559","E08000015"
"1","Labour","Yes.I.voted","Labour","Remain","10","Female","58","London","White","No.qualifications","Owned.with.a.mortgage.or.loan","K","HA8 ","E14000741","E09000003"
"10","Labour","Yes.I.voted","Green.Party","Dont.know","6","Female","69","West.Midlands","White","Level.1","Privately.rented.from.someone.other.than.a.private.landlord.or.letting.agency","K","NG3 ","E14000865","E06000018"
"10","UKIP","Yes.I.voted","UKIP","Leave","10","Male","72","South.East","White","Other","Rented.from.a.private.landlord.or.letting.agency","O","TN40 ","E14000557","E07000064"
"10","Conservative","Yes.I.voted","Conservative","Leave","10","Male","38","South.East","White","Level.2","Owned.outright.by.household","I","LE7 ","E14000909","E07000131"
NA,"Plaid.Cymru.-.the.Welsh.Nationalists","Yes.I.voted","Conservative","Leave","10","Male","64","Wales","White","Level.1","Owned.outright.by.household","D","CF42 ","W07000052","W06000016"
"10","UKIP","No.I.chose.not.to.vote","0",NA,NA,"Male","Prefer.not.to.say","Wales","White","Level.1.or.2","Rented.from.private.landlord","L","CF40 ","W07000075","W06000016"
"9","Labour","Yes.I.voted","Labour",NA,NA,"Female","63","Wales","White","Other","Owned.outright.by.household","N","CF5 ","W07000079","W06000015"
"8","Other.party","Yes.I.voted","Other.party","Remain","10","Male","48","South.East","White","No.qualifications","Social.housing.rented.other.than.from.council/local.authority","I","SE23 ","E14000788","E09000023"
"Dont.know","Labour","Yes.I.voted","Labour","Remain","5","Female","32","London","Mixed","Level.1.or.2","Rented.from.Housing.Association","A","W6 ","E14000726","E09000013"
"10","Conservative","Yes.I.voted","Conservative","Remain","10","Male","30","London","Asian/Asian.British","Level.4","Owned.with.a.mortgage.or.loan","O","AL7 ","E14001027","E07000241"
"10","Dont.know","Yes.I.voted","Dont.remember","Dont.know","10","Female","73","West.Midlands","White","0","Owned.outright.by.household","K","TA1 ","E14000988","E07000190"
"10","UKIP","Yes.I.voted","UKIP",NA,NA,"Prefer.not.to.say","Prefer.not.to.say","South.East","White","Dont.know","Prefer.not.to.say","G","HP9 ","E14000550","E07000006"
NA,"Conservative","Yes.I.voted","UKIP","Leave","10","Male","60","London","White","Level.2","Rented.from.a.private.landlord.or.letting.agency","K","BR1 ","E14000604","E09000006"
NA,"UKIP","Yes.I.voted","UKIP","Remain","10","Male","66","Wales","White","Level.1","Owned.with.a.mortgage.or.loan","B","NP25 ","W07000054","W06000021"
"10","Green.Party","Yes.I.voted","Green.Party","Remain","10","Male","32","North.West","White","Level.4","Owned.with.a.mortgage.or.loan","H","WN3 ","E14000805","E08000010"
NA,"Dont.know","Yes.I.voted","Labour","Leave","10","Male","62","London","Prefer.not.to.say","0","Prefer.not.to.say","N","E13 ","E14001032","E09000025"
NA,"Dont.know","Yes.I.voted","Labour","Dont.know","7","Female","60","Scotland","White","No.qualifications","Prefer.not.to.say","K","G14 ","S14000033","S12000046"
NA,"Labour","No.I.chose.not.to.vote",NA,"Remain","10","Female","52","Scotland","White","Level.1","Rented.from.council/local.authority","D","PH1 ","S14000050","S12000024"
"8","None.-.wont.vote","Yes.I.voted","Conservative","Dont.know","9","Female","47","London","Black/Black.British","Level.4","Being.bought.on.a.mortgage","G","CR8 ","E14000656","E09000008"
"10","Liberal.Democrat","Yes.I.voted","Liberal.Democrat",NA,NA,"Female","51","South.West","White","Level.4","Being.bought.on.a.mortgage","M","TA20 ","E14001060","E07000189"
NA,"Plaid.Cymru.-.the.Welsh.Nationalists","Yes.I.voted","Plaid.Cymru-.the.Welsh.Nationalists","Remain","10","Male","34","Wales","White","Level.4","Owned.with.a.mortgage.or.loan","H","LL57 ","W07000057","W06000002"
"10","Labour","Yes.I.voted","Labour","Remain",NA,"Female","45","South.East","White","Level.3","Rented.from.Local.Authority","I","CM19 ","E14000729","E07000073"
"1","None.-.wont.vote","No.I.chose.not.to.vote",NA,"Remain","3","Female","63","East.Midlands","White","Level.1","Rented.from.council/local.authority","K","LE7 ","E14000625","E07000130"
"5","Labour","No.I.wanted.to.vote.but.was.unable.to.do.so","blank","Leave","6","Female","53","West.Midlands","Black/Black.British","Level.3","Being.bought.on.a.mortgage","N","B66 ","E14001016","E08000028"
"10","Labour","Yes.I.voted","Labour","Dont.know","10","Female","40","London","Other.ethnic.group","Level.4","Rented.from.a.private.landlord.or.letting.agency","H","RG6 ","E14001048","E06000041"
"8","Conservative","Yes.I.voted","Conservative","Leave","8","Female","35","East.of.England","White","Level.3","Rented.from.private.landlord","J","PE28 ","E14000757","E07000011"
"10","UKIP","Yes.I.voted","UKIP","Leave","10","Female","68","East.of.England","White","0","Prefer.not.to.say","L","CO16 ","E14000642","E07000076"
"1","Dont.know","No.I.wanted.to.vote.but.was.unable.to.do.so",NA,"Leave","10","Male","59","South.East","White","Level.3","Rented.from.a.private.landlord.or.letting.agency","M","RH1 ","E14000893","E07000211"
"10","UKIP","Yes.I.voted","UKIP","Leave","10","Male","53","East.Midlands","White","Level.1","Owned.with.a.mortgage.or.loan","G","NN2 ","E14000861","E07000154"
"10","Conservative","Yes.I.voted","Conservative","Remain","10","Female","33","East.Midlands","White","Level.1","Owned.with.a.mortgage.or.loan","F","PE21 ","E14000582","E07000136"
"10","Dont.know","Yes.I.voted","Conservative","Dont.know","Dont.know","Female","53","South.East","White","No.qualifications","Owned.with.a.mortgage.or.loan","F","EN8 ","E14000606","E07000095"
"10","Labour","Yes.I.voted","Labour","Remain","10","Female","71","South.East","White","Level.4","Owned.outright.by.household","N","TN34 ","E14000735","E07000062"
NA,"Conservative","Yes.I.voted","UKIP","Remain","10","Female","62","Wales","White","No.qualifications","Living.rent.free","F","NP25 ","W07000054","W06000021"
"1","Dont.know","Yes.I.voted","Labour","Remain","1","Female","49","East.Midlands","White","Level.2","Owned.with.a.mortgage.or.loan","M","NG21 ","E14000924","E07000175"
"10","Conservative","Yes.I.voted","Conservative",NA,NA,"Female","24","West.Midlands","White","Level.3","Rented.from.private.landlord","F","WR14 ","E14001035","E07000235"
NA,"Would.not.vote","Cant.remember",NA,"Would.not.vote","Dont.know","Prefer.not.to.say","65","Wales","Prefer.not.to.say","0","Prefer.not.to.say","D","LL67 ","W07000041","W06000001"
NA,"Conservative","Yes.I.voted","Conservative","Remain","10","Prefer.not.to.say","66","Wales","Prefer.not.to.say","0","Prefer.not.to.say","K","CF72 ","W07000074","W06000016"
NA,"UKIP","Yes.I.voted","UKIP","Remain","10","Male","50","Wales","Mixed","Level.1","Owned.outright.by.household","I","SA9 ","W07000068","W06000023"
"1","Labour","No.I.chose.not.to.vote",NA,"Dont.know","1","Female","34","Wales","White","No.qualifications","Owned.outright.by.household","L","BN5 ","E14000534","E07000227"
NA,"Labour","Yes.I.voted","Dont.remember","Dont.know","10","Female","64","Wales","White","0","Rented.from.a.private.landlord.or.letting.agency","M","LL11 ","W07000062","W06000006"
"10","Conservative","Yes.I.voted","Conservative","Leave","10","Male","69","West.Midlands","White","Other","Rented.from.a.private.landlord.or.letting.agency","E","DY8 ","E14000976","E08000027"
"10","Conservative","Yes.I.voted","Conservative","Leave","10","Prefer.not.to.say","45","North.West","Prefer.not.to.say","0","Prefer.not.to.say","I","CR8 ","E14000656","E09000008"
"6","UKIP","Yes.I.voted","Dont.remember","Leave","10","Female","39","North.West","White","Level.2","Owned.with.a.mortgage.or.loan","B","RH11 ","E14000652","E07000226"
"10","Scottish.National.Party.SNP","Yes.I.voted","Scottish.National.Party.SNP","Leave","10","Male","33","East.Midlands","White","Level.2","Owned.outright.by.household","G","EH48 ","S14000043","S12000040"
"10","Liberal.Democrat","Yes.I.voted","Liberal.Democrat","Remain","10","Male","31","Scotland","White","Level.1","Owned.outright.by.household","K","PR8 ","E14000958","E08000014"
"10","Conservative","Yes.I.voted","Conservative","Leave","10","Female","51","South.West","White","Level.1","Owned.with.a.mortgage.or.loan","H","BS32 ","E14000702","E06000025"
"10","UKIP","Yes.I.voted","Labour","Leave","10","Male","33","West.Midlands","White","0","Owned.with.a.mortgage.or.loan","J","B60 ","E14000605","E07000234"
NA,"Plaid.Cymru.-.the.Welsh.Nationalists","Yes.I.voted","Plaid.Cymru-.the.Welsh.Nationalists","Remain","10","Female","57","Wales","White","Level.2","Owned.outright.by.household","C","SA32 ","W07000067","W06000010"
"10","Conservative","Yes.I.voted","Conservative","Leave","10","Female","56","Yorkshire.and.The.Humber","White","No.qualifications","Prefer.not.to.say","M","YO12 ","E14000913","E07000168"
"10","None.-.wont.vote","Yes.I.voted","Labour","Leave","10","Male","54","Wales","White","Level.2","Owned.with.a.mortgage.or.loan","D","SA62 ","W07000065","W06000009"
"10","Dont.know","Yes.I.voted","Conservative","Leave","10","Female","65","London","White","Level.4","Rented.from.private.landlord","A","EH54 ","S14000044","S12000040"
"10","Conservative","Yes.I.voted","Conservative","Remain",NA,"Male","33","South.West","White","Level.3","Being.bought.on.a.mortgage","J","BS10 ","E14000600","E06000023"
"10","Conservative","Yes.I.voted","Conservative","Leave","10","Female","24","South.West","White","Level.2","Owned.outright.by.household","G","TW15 ","E14000959","E07000213"
"9","Liberal.Democrat","Yes.I.voted","Liberal.Democrat","Remain",NA,"Male","32","London","Asian/Asian.British","Level.4","Owned.outright.by.household","N","TW14 ","E14000701","E09000018"
"10","UKIP","Yes.I.voted","UKIP","Leave","10","Female","61","North.West","White","0","Rented.from.council/local.authority","K","M9 ","E14000571","E08000003"
"10","Labour","Yes.I.voted","Labour",NA,NA,"Female","60","Yorkshire.and.The.Humber","White","Level.3","Rented.from.Housing.Association","L","S10 ","E14000919","E08000019"
"7","Dont.know","Yes.I.voted","Liberal.Democrat","Leave","10","Female","47","East.of.England","White","Level.4","Owned.outright.by.household","D","CV11 ","E14000868","E07000219"
NA,"Would.not.vote","Yes.I.voted","Liberal.Democrat","Remain","1","Female","61","London","White","Level.3","Owned.outright.by.household","N","SM3 ","E14000984","E09000029"
"10","Conservative","No.I.chose.not.to.vote","0",NA,NA,"Male","74","East.Midlands","White","Level.1.or.2","Owned.outright.by.household","L","NN10 ","E14001025","E07000152"
"10","Dont.know","Yes.I.voted","Labour","Remain","7","Female","59","London","Asian/Asian.British","Level.4","Rented.from.Housing.Association","A","SW4 ","E14001008","E09000022"
"1","None.-.wont.vote","Cant.remember",NA,"Leave","10","Female","69","West.Midlands","White","Level.1","Owned.outright.by.household","C","ST15 ","E14000975","E07000197"
"10","Liberal.Democrat","Yes.I.voted","Conservative","Remain","10","Female","62","Yorkshire.and.The.Humber","Mixed","Level.4","Owned.with.a.mortgage.or.loan","K","SG9 ","E14000845","E07000242"
"10","UKIP","Yes.I.voted","UKIP","Leave","10","Male","47","North.West","White","Level.1","Owned.with.a.mortgage.or.loan","K","WA11 ","E14000962","E08000013"
"10","Dont.know","Yes.I.voted","Labour","Remain","10","Female","32","North.East","White","Level.4","Being.bought.on.a.mortgage","H","NE28 ","E14000853","E08000022"
"10","Labour","No.I.wanted.to.vote.but.was.unable.to.do.so","0","Leave","7","Female","56","East.Midlands","White","Level.3","Being.bought.on.a.mortgage","M","S18 ","E14000843","E07000038"
"10","Labour","Yes.I.voted","Labour","Remain","10","Female","32","East.Midlands","White","Level.2","Owned.with.a.mortgage.or.loan","H","NG15 ","E14000924","E07000170"
NA,"Labour","Yes.I.voted","Liberal.Democrat","Remain","1","Female","69","London","White","Level.1","Rented.from.council/local.authority","L","RM6 ","E14000657","E09000002"
"10","Conservative","Yes.I.voted","Conservative","Remain","10","Female","65","Scotland","White","Level.1","Owned.outright.by.household","F","G72 ","S14000056","S12000029"
"10","Conservative","Yes.I.voted","Conservative","Remain","10","Female","56","South.East","White","Level.1","Owned.outright.by.household","A","BR1 ","E14000604","E09000006"
"8","Conservative","Yes.I.voted","Conservative","Leave","10","Female","71","South.East","Asian/Asian.British","Level.4","Owned.outright.by.household","C","WA15 ","E14000532","E08000009"
NA,"Labour","Yes.I.voted","Labour","Remain","Dont.know","Female","33","Scotland","Asian/Asian.British","Level.4","Owned.with.a.mortgage.or.loan","H","G74 ","S14000019","S12000029"
"10","Conservative","Yes.I.voted","Conservative","Remain","10","Male","51","East.Midlands","White","Level.1","Owned.with.a.mortgage.or.loan","F","LE18 ","E14000728","E07000135"
"10","Labour","Yes.I.voted","Green.Party","Remain",NA,"Female","47","London","White","Level.1.or.2","Being.bought.on.a.mortgage","A","N4 ","E14000752","E09000014"
"10","Labour","Yes.I.voted","Labour","Leave","10","Male","70","Wales","White","0","Owned.outright.by.household","M","CF37 ","W07000075","W06000016"
"9","Labour","Yes.I.voted","Labour",NA,NA,"Female","38","North.West","Prefer.not.to.say","Dont.know","Prefer.not.to.say","K","CA2 ","E14000620","E07000028"
"10","Labour","Yes.I.voted","Labour","Remain","10","Male","34","Yorkshire.and.The.Humber","Black/Black.British","Level.2","Owned.outright.by.household","L","LE6 ","E14000625","E07000132"
NA,"Scottish.National.Party.SNP","Yes.I.voted","Scottish.National.Party.SNP","Leave","10","Female","48","Scotland","White","Level.4","Social.housing.rented.other.than.from.council/local.authority","K","PA3 ","S14000052","S12000038"
"7","Labour","Yes.I.voted","Dont.remember","Leave","10","Male","36","Yorkshire.and.The.Humber","White","Level.1","Rented.from.a.private.landlord.or.letting.agency","H","HD3 ","E14000645","E08000034"
"10","Conservative","Yes.I.voted","Conservative","Dont.know",NA,"Female","57","East.Midlands","White","Level.4","Being.bought.on.a.mortgage","F","NN7 ","E14000942","E07000155"
NA,"Labour","Yes.I.voted","Labour","Remain","10","Female","40","Scotland","White","Level.2","Owned.with.a.mortgage.or.loan","O","KY12 ","S14000017","S12000015"
NA,"UKIP","Yes.I.voted","UKIP","Leave","10","Female","55","Wales","White","0","Owned.with.a.mortgage.or.loan","D","SY22 ","W07000063","W06000023"
"10","Labour","Yes.I.voted","Labour",NA,NA,"Female","30","North.West","White","Level.4","Owned.outright.by.household","J","EH54 ","S14000044","S12000040"
"10","Scottish.National.Party.SNP","Yes.I.voted","Scottish.National.Party.SNP","Remain",NA,"Male","56","Scotland","White","Level.1.or.2","Being.bought.on.a.mortgage","C","IV63 ","S14000039","S12000017"
NA,"Plaid.Cymru.-.the.Welsh.Nationalists","Yes.I.voted","Labour","Leave","10","Male","65","Wales","White","Level.2","Owned.outright.by.household","M","CF42 ","W07000052","W06000016"
"10","UKIP","Yes.I.voted","UKIP","Leave","10","Female","52","Scotland","White","Level.1","Owned.outright.by.household","G","NN13 ","E14000942","E07000155"
NA,"Conservative","Yes.I.voted","Conservative","Remain","10","Male","41","London","White","Level.2","Owned.with.a.mortgage.or.loan","A","SW11 ","E14000549","E09000032"
"8","UKIP","No.I.chose.not.to.vote","blank","Leave","8","Male","75","South.East","White","Level.4","Rented.from.Housing.Association","L","EH54 ","S14000044","S12000040"
"10","UKIP","Yes.I.voted","UKIP","Leave","10","Male","51","North.West","White","Level.1","Rented.from.council/local.authority","F","NE24 ","E14000575","E06000057"
"10","Dont.know","Yes.I.voted","0","Dont.know",NA,"Male","62","South.East","White","Dont.know","Rented.from.Housing.Association","L","OX7 ","E14001046","E07000181"
NA,"Liberal.Democrat","Yes.I.voted","Liberal.Democrat","Remain","10","Female","45","Scotland","White","Level.1","Owned.with.a.mortgage.or.loan","B","EH4 ","S14000026","S12000036"
NA,"Scottish.National.Party.SNP","Yes.I.voted","Scottish.National.Party.SNP","Remain","9","Male","38","Scotland","White","0","Owned.with.a.mortgage.or.loan","G","EH48 ","S14000043","S12000040"
"10","Conservative","Yes.I.voted","Conservative","Remain",NA,"Male","27","West.Midlands","White","Level.3","Being.bought.on.a.mortgage","H","B78 ","E14000986","E07000194"
"10","UKIP","No.I.chose.not.to.vote","0","Leave",NA,"Male","60","South.East","White","Other","Rented.from.private.landlord","I","RG31 ","E14000890","E06000038"
"7","Conservative","Yes.I.voted","Conservative",NA,NA,"Female","50","London","White","Level.3","Being.bought.on.a.mortgage","F","DA8 ","E14000696","E09000004"
NA,"Scottish.National.Party.SNP","Yes.I.voted","Scottish.National.Party.SNP","Leave","10","Female","54","Scotland","White","0","Owned.with.a.mortgage.or.loan","L","G33 ","S14000032","S12000046"
"1","None.-.wont.vote","No.I.chose.not.to.vote","0","Remain","1","Female","44","London","Black/Black.British","Level.1","Social.housing.rented.other.than.from.council/local.authority","K","NW10 ","E14000591","E09000005"
"10","Conservative","Yes.I.voted","Conservative","Remain","10","Female","68","South.East","White","Level.3","Owned.outright.by.household","M","CT9 ","E14000852","E07000114"
